model,train,test
LinearSGD_default,0.5508806678701199,0.3793511146455853
Lasso_default,0.5509969249049114,0.3795754706876904
Ridge_default,0.5178313615325897,0.4518473690817616
ElasticNet_default,0.5378465347210548,0.4390915343083388
LinearSGD_minmax,0.5677884705915931,0.3507637985739296
Ridge_minmax,0.2168003882252509,0.176397495577692
Lasso_minmax,0.5678531838869675,0.352306892978113
ElasticNet_minmax,0.2815518191868713,0.240937200820586
LinearSGD_standart,0.5380692714131871,0.35253717565994025
Lasso_standart,0.5381752080742582,0.3527267256234995
Ridge_standart,0.5526496171841477,0.3935485771683519
ElasticNet_standart,0.5470169595224059,0.3764854201762299
